epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,724.66,0.31291,0.95009,1,0.12211,0.00999439,0.00333146,0.00999439,0.00333146,0.00999439,0.00333146,0.00999439,0.00333146
2,1434.67,0.16441,0.96981,1,0.08313,0.0197964,0.00659882,0.0197964,0.00659882,0.0197964,0.00659882,0.0197964,0.00659882
3,2124.96,0.13187,0.96365,1,0.12554,0.0294005,0.00980017,0.0294005,0.00980017,0.0294005,0.00980017,0.0294005,0.00980017
4,2807.44,0.13766,0.9655,1,0.10129,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,3490.36,0.10852,0.95502,1,0.13702,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,4157.44,0.10077,0.9581,1,0.13654,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,4822.68,0.08578,0.96488,1,0.10285,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,5485.01,0.08431,0.9655,1,0.12025,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,6146.09,0.07637,0.96303,1,0.12131,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,6808.16,0.0728,0.96919,1,0.10361,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,7469.37,0.06797,0.96365,1,0.11386,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,8131.49,0.06457,0.96673,1,0.10315,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,8793.55,0.06491,0.96981,1,0.10397,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,9454.15,0.06479,0.9655,1,0.12516,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,10116.3,0.06191,0.97043,1,0.09903,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,10778.3,0.06083,0.96734,1,0.09586,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,11443.4,0.05888,0.97104,1,0.11498,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,12107.2,0.05893,0.9655,1,0.12398,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,12772.3,0.06044,0.96858,1,0.12376,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,13439.3,0.05238,0.97043,1,0.09274,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,14108.4,0.0542,0.9655,1,0.10321,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,14774.6,0.05236,0.96242,1,0.1284,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,15444.3,0.05591,0.96426,1,0.13828,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,16108.6,0.05171,0.96919,1,0.10577,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,16776,0.05303,0.96796,1,0.10957,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,17443.2,0.04913,0.96919,1,0.11029,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,18110.3,0.04893,0.96919,1,0.11744,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,18771.5,0.04889,0.96858,1,0.1166,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,19430.6,0.04867,0.96858,1,0.11623,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,20089.7,0.05012,0.96981,1,0.1143,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,20748.5,0.04863,0.96981,1,0.12064,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,21407.5,0.04653,0.96919,1,0.12646,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
